person_id,education_tier,highest_level
/p/SAZwRVReUVlXVFVR,2.0,phd
/p/SAZwKwAZADcCDAsIHDMbFwI6,1.0,masters
/p/SAZwKwoEFjcbDAkLKSw=,1.0,high_school
/p/SAZwKxMKAwkKAToODC4BCA4XDAAyBwsXMRcO,1.0,phd
/p/SAZwFQAGDBowDg0GAzscExI=,5.0,bachelors
/p/SAZwFQAGDBowGwwVFzEd,1.0,high_school
/p/SAZwFQAZCgYwDBA=,3.0,bachelors
/p/SAZwFQAZCgYwDwoeGj4a,1.0,bachelors
/p/SAZwFQAZCgYwCAgOETc=,1.0,bachelors
/p/SAZwFQAZCgYwCwQdAzMVCg==,4.0,phd
/p/SAZwFQAZCgYwCwALEjIVDw==,3.0,phd
/p/SAZwFQAZCgYwCgwTGjoGPhsNNws=,2.0,masters
/p/SAZwFQAZCgYwAQQJEjoG,5.0,high_school
/p/SAZwFQAZCgYwHQQJAjAeAA==,5.0,masters
/p/SAZwFQAZCgYwHwoRGDoG,1.0,masters
/p/SAZwFQMJHDcJHwQOGTMd,5.0,masters
/p/SAZwFQMPEAQDDA04Hj4dBQ4XN19dVA==,2.0,masters
/p/SAZwFQMPEAQDDA04Hj4dBQ4XN19cVA==,2.0,masters
/p/SAZwFQMPEAQDDA04HTcVDQIBN19cUw==,2.0,masters
/p/SAZwFQMOOgUOGQ0CAQ==,1.0,bachelors
/p/SAZwFQMDDDcIBQoLFy8=,1.0,masters
/p/SAZwFQMCHB0wCQwVGQ==,4.0,bachelors
/p/SAZwFQMZBAAOADoUAjoGDw==,1.0,bachelors
/p/SAZwFQUKCDcNCBcAEy0rUVtX,2.0,high_school
/p/SAZwFQUKCDcMBQAeEy0=,3.0,masters
/p/SAZwFQUKCDcKARYCBSwREw==,3.0,high_school
/p/SAZwFQUKCDcKAwcGBA==,2.0,bachelors
/p/SAZwFQUKCDcJCAkL,4.0,associates
/p/SAZwFQUKCDcIHwoREwAECTQB,5.0,bachelors
/p/SAZwFQUKCDcEAgAXBjoY,1.0,masters
/p/SAZwFQUKCDcEHwoFKS8cPg8=,2.0,bachelors
/p/SAZwFQUKCDcDDAcCEiUfCA==,1.0,masters
/p/SAZwFQUKCDcACQoJGDoYDQ==,2.0,masters
/p/SAZwFQUKCDcfHwwTDDQREw==,4.0,phd
/p/SAZwFQUKCDccDA0=,3.0,associates
/p/SAZwFQUKCDccDg0SBA==,4.0,phd
/p/SAZwFQUKCDccBQAD,3.0,masters
/p/SAZwFQUKCDccBAAAEzMrUVtX,2.0,phd
/p/SAZwFQUKCDccFwQVDCYaEgAM,1.0,masters
/p/SAZwFQUKCDcYDBECBCw=,3.0,masters
/p/SAZwFQUKCDcYBAIAHzEH,5.0,associates
/p/SAZwFQUKCDcWCAA4Rm9G,1.0,bachelors
/p/SAZwFQUKCDcVBAALHzEHCgI=,1.0,bachelors
/p/SAZwFQUOCQEAMggCGDsREg==,1.0,masters
/p/SAZwFQUCOhgGAw0GBQ==,3.0,bachelors
/p/SAZwFQUCEREOMg0GEjYEFB8XCQ==,4.0,phd
/p/SAZwFQUCEREOMg0SGz4Q,4.0,masters
