person_id,company_id,performance,education_tier,education_level_score,industry,is_founder_of_target,company_founded,label
SAZwBg4JABobMgA4BTAWDgc=,SBVwHQUOBjcfBQQVGz4XBB4RAQwMCRQ=,1.811307692307692,2.0,4.0,Healthcare and Biotech,True,1986,1
SAZwHRcEFzcdAhwUAjAaPgYB,SBVwHQUOBjcfBQQVGz4XBB4RAQwMCRQ=,1.811307692307692,3.0,5.0,Healthcare and Biotech,True,1986,1
SAZwBAAeCTcDDAwMHzEQPhsNNws=,SBVwAggKAg0BCDo4HzEXPg==,5.390756914044939,1.0,3.0,Healthcare and Biotech,True,1987,1
SAZwEAAdDAwwBQQLEw==,SBVwAggKAg0BCDo4HzEXPg==,5.390756914044939,3.0,4.0,Healthcare and Biotech,True,1987,1
SAZwAwgHCQEOADoJEygrEQM6DA==,SBVwGgAfEBswAAADHzwVDQ==,1.0,2.0,5.0,Healthcare and Biotech,True,1987,1
SAZwAwgHCQEOADoKGTAGBDRVWF4=,SBVwGgAfEBswAAADHzwVDQ==,1.0,5.0,3.0,Healthcare and Biotech,True,1987,1
SAZwBggIDQkdCToUEzMQBAU6GAcyAQ==,SBVwABMKCxsEDBceGSsdAjQRAAofBBcfOgc=,0.4145314787701317,1.0,4.0,Healthcare and Biotech,True,1988,0
SAZwEA4eAgQOHjoTBDoXDjQVADAJOldGbg==,SBVwABMKCxsEDBceGSsdAjQRAAofBBcfOgc=,0.4145314787701317,2.0,4.0,Healthcare and Biotech,True,1988,0
SAZwBg4JABobMgIVHzoCBA==,SBVwHAQYDgk=,3.5880884789919807,2.0,3.0,Healthcare and Biotech,True,1988,0
SAZwHg4YABgHMgkGBDEREw==,SBVwHQ8YCA0L,1.1700015421389467,2.0,3.0,Healthcare and Biotech,True,1988,1
SAZwHg4OOgMGDAsO,SBVwGQAYDAUA,3.7109375,1.0,4.0,Healthcare and Biotech,True,1989,3
SAZwFQ8KCwwwBBwCGDgVEw==,SBVwGgQEFQkbBQ==,1.441534337839408,4.0,3.0,Healthcare and Biotech,True,1989,1
SAZwBAQfABowAAwLGDoG,SBVwFxc0EQAKHwQXEyoACAgW,2.5217301226114177,3.0,4.0,Healthcare and Biotech,True,1990,1
SAZwGA4eDBswAQQJETo=,SBVwFxc0EQAKHwQXEyoACAgW,2.5217301226114177,2.0,4.0,Healthcare and Biotech,True,1990,1
SAZwGA4eOgQOAwIC,SBVwFxc0EQAKHwQXEyoACAgW,2.5217301226114177,3.0,3.0,Healthcare and Biotech,True,1990,1
SAZwBg4JABobMgMVHywAPgEXNw==,SBVwHAQKCRwHHhEVEz4Z,4.886291989809,5.0,4.0,Healthcare and Biotech,True,1990,1
SAZwHg4DCzcdCAwDKW9EUA==,SBVwARMECQcIBB04HzEX,1.8074510456601085,5.0,2.0,Healthcare and Biotech,True,1991,1
SAZwBggIDQkdCToKHzMYBBk6BQs=,SBVwBAkKFwUODhwEGjYXEg==,10.0,2.0,4.0,Healthcare and Biotech,True,1991,2
SAZwFwkKFwQKHjoQHzETBB8R,SBVwBwIKCwwGHQ0GBDI=,2.48,3.0,3.0,Healthcare and Biotech,True,1991,1
SAZwEQkeATcGGxcO,SBVwFQQZCg8KAw==,2.5962217316331127,1.0,4.0,Healthcare and Biotech,True,1991,2
SAZwHg4DCzcfAhICBABEUV4=,SBVwFQQZCg8KAw==,2.5962217316331127,2.0,3.0,Healthcare and Biotech,True,1991,2
SAZwFgAHBDccMggGGDYVDw==,SBVwFggECA0bHwwEKTYZAAwMBgg=,0.7571510599805666,2.0,3.0,Healthcare and Biotech,True,1991,1
SAZwBg4JABobMgYGBC8RDx8AGg==,SBVwEwQHEQ0X,9.667003685767082,2.0,4.0,Healthcare and Biotech,True,1992,1
SAZwEwQEFw8KMhIPHysREgIBDRw=,SBVwEwQHEQ0X,9.667003685767082,1.0,3.0,Healthcare and Biotech,True,1992,1
SAZwBwIEERwwHgQTHzE=,SBVwFwAZAQEADgoVEw==,1.0,4.0,4.0,Healthcare and Biotech,True,1992,0
SAZwGAAcFw0BDgA4BT4ACAU=,SBVwFwAZAQEADgoVEw==,1.0,2.0,5.0,Healthcare and Biotech,True,1992,0
SAZwGwwKFzcOAAwVFzEV,SBVwFwAZAQECDA==,1.2298366072496707,5.0,3.0,Healthcare and Biotech,True,1992,1
SAZwFwkKFwQKHjoEGTcRDzQVADAJ,SBVwGxMfDQcZBBEG,1.3043478260869563,3.0,5.0,Healthcare and Biotech,True,1992,1
SAZwGQAFEDcEBQAVFwBEUVo=,SBVwAAkCFwwwGgQREwAABAgNBgABCgAfOgc=,3.7424700917797287,2.0,4.0,Healthcare and Biotech,True,1993,3
SAZwBAAeCTcLHwQeBTAaPhsNNws=,SBVwBA4cAQ0dBwAEAg==,2.5257778774586854,3.0,4.0,Healthcare and Biotech,True,1993,1
SAZwEAAdDAwwHgQVBjcdBDQVADAJ,SBVwBA4cAQ0dBwAEAg==,2.5257778774586854,5.0,5.0,Healthcare and Biotech,True,1993,1
SAZwHwQdDAYwBgwJBToYDQo=,SBVwBwQaEAkBDDoTHjoGABsAHRsEBhQpAB0PCDo=,2.7087377997240276,2.0,4.0,Healthcare and Biotech,True,1993,1
SAZwAAkECAkcMhUOFTwVEwIABAMCOhceABA=,SBVwBxgFEQAAAwwEBQ==,0.7290576736447476,2.0,4.0,Healthcare and Biotech,True,1993,0
SAZwBwIEERwwHQQLGzoGPgYB,SBVwBxgFEQAAAwwEBQ==,0.7290576736447476,5.0,5.0,Healthcare and Biotech,True,1993,0
SAZwHg4DCzcbBAsMHj4ZPgEB,SBVwBxgFEQAAAwwEBQ==,0.7290576736447476,1.0,4.0,Healthcare and Biotech,True,1993,0
SAZwBggIDQkdCToPFzIdDR8KBjAdDTgS,SBVwFwQZABs=,0.5541091804979253,1.0,4.0,Healthcare and Biotech,True,1993,2
SAZwBgABEDcEGAYPEy0YABsEHAY=,SBVwGQUG,10.0,4.0,3.0,Healthcare and Biotech,True,1993,2
SAZwERMCBjcDDAsDEy0=,SBVwGQUG,10.0,3.0,5.0,Healthcare and Biotech,True,1993,2
