founder_id,industry,score,rank,explanation
SAZwGQAZEwEBMgICEw==,Healthcare and Biotech,-0.94907975,1,
SAZwGAQKDTccBAcCGDoG,Healthcare and Biotech,-0.97516304,2,
SAZwGBQAADcDCAA4Rm9F,Healthcare and Biotech,-1.2830142,3,
SAZwBAQfFwccMg0CBDgaGAoL,Healthcare and Biotech,-1.4126244,4,
SAZwFRIDChwwCQQJHzoYGAoL,Healthcare and Biotech,-1.4643363,5,
SAZwEBM0AQkZBAE4DD4GBgoXEQ4D,Healthcare and Biotech,-1.5513898,6,
SAZwHz4IDRoGHhEIBjcREzQCCR0ODAY=,Healthcare and Biotech,-2.1858368,7,
SAZwEwQZBAQLMg0IBDoY,Healthcare and Biotech,-2.4158456,8,
SAZwBgAGOg4GHg0=,Healthcare and Biotech,-2.5143807,9,
SAZwGAgYBDcCDggeGABEUVo=,Healthcare and Biotech,-2.558453,10,
SAZwEA4FBAQLMhYKHyscPltXWg==,Healthcare and Biotech,-2.7545493,11,
SAZwHgQFCwEJCBc4GCgVDwASBzAdDTgS,Healthcare and Biotech,-3.480267,12,
SAZwGQAfEQAGDBY4HjASDAoLBjAdDTgS,Healthcare and Biotech,-3.8354871,13,
SAZwAAgMFwkBMgsGDD4GGAoLNx8FOgM=,Information Technology,0.37584808,1,
SAZwFRMGAAYwHgQAHj4ABAcMCQE=,Information Technology,0.08247912,2,
SAZwBwQZAg0WMggGBDQbEhIEBg==,Information Technology,-0.003701765,3,
SAZwGQAZDjcHBAsDGz4GEgM=,Information Technology,-0.5970273,4,
SAZwBAQZFxEwBQQLEjoaAxI=,Information Technology,-0.6362157,5,
SAZwBwAZEw0cBToDATYCBA8M,Information Technology,-0.7767704,6,
SAZwGxIIBBowAAQV,Information Technology,-0.77813655,7,
SAZwBxQOOhgAAgkC,Information Technology,-1.0042633,8,
SAZwHxIDDBwGBzoAAy8AAA==,Information Technology,-1.3576826,9,
SAZwFQ8CDg0bMgcCHjoGAA==,Information Technology,-1.5307348,10,
SAZwBwAYBgAOMggIHCsVCQ4BAQ==,Information Technology,-1.5417057,11,
SAZwBxQYBAYwHQoIGjo=,Information Technology,-1.6149274,12,
SAZwHwgKCzcCDBcGGDsd,Information Technology,-1.6269727,13,
SAZwFQ0OHTcZDAkLBQ==,Information Technology,-1.6310817,14,
SAZwDgAAOgsAAQA=,Information Technology,-1.7126793,15,
SAZwHgQNAzcIHwACGA==,Information Technology,-1.7436705,16,
SAZwBgAbDQkKAToAFy0XCAo=,Information Technology,-1.7620374,17,
SAZwGQgIDQkKAToKEzMbDw4=,Information Technology,-1.8227528,18,
SAZwGgAfDQkBBAALKTkGCA4B,Information Technology,-1.8325337,19,
SAZwEwAHAAYwAAQUGTE=,Information Technology,-1.8875456,20,
SAZwBwkEEwkBMggGHysNPhsNNws=,Information Technology,-1.8919681,21,
SAZwGg4KDTccGQQJEDAGBQ==,Information Technology,-1.9008557,22,
SAZwDQgEFw8AHjoJHzQbDQ4RCQQEFg==,Information Technology,-1.9166603,23,
SAZwBwkZABEOHjoUEzErEQM6DA==,Information Technology,-1.9404503,24,
SAZwHgAFOgUOARw=,Information Technology,-1.9408107,25,
SAZwBg4JDAYwHwQUDDQV,Information Technology,-1.9431444,26,
SAZwBxUOEw0wHgQRHzAO,Information Technology,-1.9433428,27,
SAZwAA4FDDcKHgYSEjorEQQQBAoDBg==,Information Technology,-1.9560758,28,
SAZwHg4YABgwDwQVFDoGAA==,Information Technology,-1.9620955,29,
SAZwEQ0CCwkwDwQdHzEVEg==,Information Technology,-2.0298653,30,
SAZwHhQKCzcZCAkGDzAH,Information Technology,-2.040925,31,
SAZwFQ8fDQcBFDoKFy0HCQI=,Information Technology,-2.0586696,32,
SAZwAA4GOg0GBw4CGjoaCgoIGA==,Information Technology,-2.081119,33,
SAZwAAgGChswGQoMGSoHAwoJAQsIFg==,Information Technology,-2.0931127,34,
SAZwERgfDQkBMgE4FzIdAgQ=,Information Technology,-2.1013422,35,
SAZwBgASOh4KAxESBD4=,Information Technology,-2.118227,36,
SAZwERgKCTcWDAwV,Information Technology,-2.1892495,37,
SAZwHj4JOhgdBBEdHToGPgEB,Information Technology,-2.2484431,38,
SAZwEggfHw8KHwQLEgACBAURHR0M,Information Technology,-2.249868,39,
SAZwGBQIBBswDgQVGDo=,Information Technology,-2.2507298,40,
SAZwHg4YABgHMgYIGjorUVtU,Information Technology,-2.2593157,41,
SAZwAA4JHDcHGAsA,Information Technology,-2.2893407,42,
SAZwHgQZCg0BMg0CHzEdDwwABg==,Information Technology,-2.313597,43,
SAZwHwgGOhgKHwALGg==,Information Technology,-2.3226447,44,
SAZwHgAGABswAjoEGTEaDhk6Ah0y,Information Technology,-2.3667812,45,
SAZwAggYDQkDMhYPFzc=,Information Technology,-2.3789325,46,
SAZwEwgHBw0dGToAFy0OAA==,Information Technology,-2.3900144,47,
SAZwHhE0EgEICgwJBQ==,Information Technology,-2.406423,48,
SAZwGQgHEQEOCQwUKSURCAkAAwYe,Information Technology,-2.4073393,49,
SAZwHgAGABswDxcCGDEVDw==,Information Technology,-2.43573,50,
SAZwHgQFCxEwCQAGBDYaBg==,Information Technology,-2.441422,51,
